,Unnamed: 0,rank,title,score,scored_by_users,type,episodes,status,aired,premiered,broadcast,producers,licensors,studios,source,genres,theme,demographic,duration,rating,popularity,url
0,0,1,Fullmetal Alchemist: Brotherhood,9.15,1704441,TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,Sundays at 17:00 (JST),"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America",Bones,Manga,"Action, Adventure, Comedy, Drama, Fantasy",Military,Shounen,24 min. per ep.,R - 17+ (violence & profanity),3,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
1,1,2,Shingeki no Kyojin: The Final Season Part 2,9.12,188373,TV,12,Currently Airing,"Jan 10, 2022 to ?",Winter 2022,Mondays at 00:05 (JST),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprise","None found, add some",MAPPA,Manga,"Action, Drama, Fantasy, Mystery",,Shounen,23 min. per ep.,R - 17+ (violence & profanity),198,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2
2,2,3,Steins;Gate,9.09,1161139,TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,Wednesdays at 02:05 (JST),"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,White Fox,Visual novel,"Drama, Sci-Fi, Suspense",Psychological,,24 min. per ep.,PG-13 - Teens 13 or older,13,https://myanimelist.net/anime/9253/Steins_Gate
3,3,4,Gintama°,9.09,182120,TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016",Spring 2015,Wednesdays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,334,https://myanimelist.net/anime/28977/Gintama°
4,4,5,Shingeki no Kyojin Season 3 Part 2,9.08,1195629,TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,Mondays at 00:10 (JST),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,"Action, Drama, Fantasy, Mystery",,Shounen,23 min. per ep.,R - 17+ (violence & profanity),32,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
5,5,6,Fruits Basket: The Final,9.06,128247,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 01:30 (JST),"TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music",Funimation,TMS Entertainment,Manga,"Drama, Romance, Slice of Life, Supernatural",,Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,629,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
6,6,7,Gintama',9.06,188495,TV,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",Spring 2011,Mondays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,379,https://myanimelist.net/anime/9969/Gintama
7,7,8,Gintama: The Final,9.05,38873,Movie,1,Finished Airing,"Jan 8, 2021",,,"TV Tokyo, Warner Bros. Japan",Eleven Arts,Bandai Namco Pictures,Manga,"Action, Comedy, Drama, Sci-Fi",,Shounen,1 hr. 44 min.,PG-13 - Teens 13 or older,1809,https://myanimelist.net/anime/39486/Gintama__The_Final
8,8,9,Hunter x Hunter (2011),9.05,1343292,TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,Sundays at 10:55 (JST),"VAP, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,"Action, Adventure, Fantasy",Super Power,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,9,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
9,9,10,Gintama': Enchousen,9.04,137219,TV,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013",Fall 2012,Thursdays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,684,https://myanimelist.net/anime/15417/Gintama__Enchousen
10,10,11,Ginga Eiyuu Densetsu,9.03,60609,OVA,110,Finished Airing,"Jan 8, 1988 to Mar 17, 1997",,,"TV Tokyo, Kitty Films, Tokuma Shoten, Tokuma Japan Communications",Sentai Filmworks,"K-Factory, Kitty Film Mitaka Studio",Novel,"Drama, Sci-Fi",,,26 min. per ep.,R - 17+ (violence & profanity),685,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
11,11,12,Gintama.,8.99,115784,TV,12,Finished Airing,"Jan 9, 2017 to Mar 27, 2017",Winter 2017,Mondays at 01:35 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha","None found, add some",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,731,https://myanimelist.net/anime/34096/Gintama
12,12,13,3-gatsu no Lion 2nd Season,8.96,164760,TV,22,Finished Airing,"Oct 14, 2017 to Mar 31, 2018",Fall 2017,Saturdays at 23:00 (JST),"Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory",Aniplex of America,Shaft,Manga,"Drama, Slice of Life",Game,Seinen,25 min. per ep.,PG-13 - Teens 13 or older,526,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
13,13,14,Koe no Katachi,8.96,1308663,Movie,1,Finished Airing,"Sep 17, 2016",,,"Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras","Eleven Arts, NYAV Post",Kyoto Animation,Manga,,School,Shounen,2 hr. 10 min.,PG-13 - Teens 13 or older,19,https://myanimelist.net/anime/28851/Koe_no_Katachi
14,14,15,Violet Evergarden Movie,8.96,143391,Movie,1,Finished Airing,"Sep 18, 2020",,,Shochiku,Funimation,Kyoto Animation,Light novel,"Drama, Fantasy, Slice of Life",,,2 hr. 20 min.,PG-13 - Teens 13 or older,447,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
15,15,16,Clannad: After Story,8.95,586077,TV,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",Fall 2008,Fridays at 01:59 (JST),"Pony Canyon, TBS, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,"Comedy, Drama, Romance, Slice of Life, Supernatural",,,24 min. per ep.,PG-13 - Teens 13 or older,101,https://myanimelist.net/anime/4181/Clannad__After_Story
16,16,17,Gintama,8.95,275909,TV,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,Thursdays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha","Sentai Filmworks, Crunchyroll",Sunrise,Manga,"Action, Comedy, Sci-Fi",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,124,https://myanimelist.net/anime/918/Gintama
17,17,18,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.93,115688,Movie,1,Finished Airing,"Jul 6, 2013",,,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi",,Shounen,1 hr. 50 min.,PG-13 - Teens 13 or older,929,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
18,18,19,Code Geass: Hangyaku no Lelouch R2,8.91,1024316,TV,25,Finished Airing,"Apr 6, 2008 to Sep 28, 2008",Spring 2008,Sundays at 17:00 (JST),"Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Sunrise,Original,"Action, Drama, Sci-Fi",,,24 min. per ep.,R - 17+ (violence & profanity),46,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
19,19,20,Kimetsu no Yaiba: Yuukaku-hen,8.91,343634,TV,11,Finished Airing,"Dec 5, 2021 to Feb 13, 2022",Winter 2022,Sundays at 23:15 (JST),"None found, add some","None found, add some",ufotable,Manga,"Action, Supernatural",,Shounen,26 min. per ep.,R - 17+ (violence & profanity),193,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen
20,20,21,Owarimonogatari 2nd Season,8.9,159341,TV,7,Finished Airing,"Aug 12, 2017 to Aug 13, 2017",Summer 2017,Not scheduled once per week,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,"Comedy, Mystery, Supernatural",Vampire,,22 min. per ep.,R - 17+ (violence & profanity),530,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
21,21,22,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.89,72872,TV,14,Finished Airing,"Jul 9, 2018 to Oct 8, 2018",Summer 2018,Mondays at 01:35 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha","None found, add some",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,1194,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen
22,22,23,Kimi no Na wa.,8.88,1575176,Movie,1,Finished Airing,"Aug 26, 2016",,,"Toho, Sound Team Don Juan, Amuse, JR East Marketing & Communications, Kadokawa, voque ting","Funimation, NYAV Post",CoMix Wave Films,Original,"Drama, Romance, Supernatural",School,,1 hr. 46 min.,PG-13 - Teens 13 or older,11,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
23,23,24,Shingeki no Kyojin: The Final Season,8.88,848238,TV,16,Finished Airing,"Dec 7, 2020 to Mar 29, 2021",Winter 2021,Mondays at 00:10 (JST),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,MAPPA,Manga,"Action, Drama, Fantasy, Mystery",,Shounen,23 min. per ep.,R - 17+ (violence & profanity),57,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
24,24,25,Shiguang Dailiren,8.83,43615,ONA,11,Finished Airing,"Apr 30, 2021 to Jul 9, 2021",,,"bilibili, BeDream",Funimation,Studio LAN,Original,"Drama, Supernatural",,,23 min. per ep.,PG-13 - Teens 13 or older,1202,https://myanimelist.net/anime/44074/Shiguang_Dailiren
25,25,26,Monster,8.82,260153,TV,74,Finished Airing,"Apr 7, 2004 to Sep 28, 2005",Spring 2004,Wednesdays at 00:40 (JST),"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",VIZ Media,Madhouse,Manga,"Drama, Mystery, Suspense",Psychological,Seinen,24 min. per ep.,R+ - Mild Nudity,157,https://myanimelist.net/anime/19/Monster
26,26,27,Gintama.: Shirogane no Tamashii-hen,8.82,79905,TV,12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",Winter 2018,Mondays at 01:35 (JST),"TV Tokyo, Aniplex, Dentsu, Shueisha","None found, add some",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,1090,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen
27,27,28,Kizumonogatari III: Reiketsu-hen,8.81,224282,Movie,1,Finished Airing,"Jan 6, 2017",,,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,"Action, Mystery, Supernatural",Vampire,,1 hr. 23 min.,R - 17+ (violence & profanity),451,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
28,28,29,Mob Psycho 100 II,8.81,719479,TV,13,Finished Airing,"Jan 7, 2019 to Apr 1, 2019",Winter 2019,Mondays at 23:00 (JST),"Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",Funimation,Bones,Web manga,"Action, Comedy, Slice of Life, Supernatural",,,24 min. per ep.,PG-13 - Teens 13 or older,87,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
29,29,30,Ousama Ranking,8.81,87433,TV,23,Currently Airing,"Oct 15, 2021 to Mar 25, 2022",Fall 2021,Fridays at 00:55 (JST),"Aniplex, Dentsu, Fuji TV, Kadokawa",Funimation,Wit Studio,Web manga,"Adventure, Fantasy",,,22 min. per ep.,PG-13 - Teens 13 or older,600,https://myanimelist.net/anime/40834/Ousama_Ranking
30,30,31,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.8,656106,TV,10,Finished Airing,"Oct 8, 2016 to Dec 10, 2016",Fall 2016,Saturdays at 01:55 (JST),"Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Sentai Filmworks,Production I.G,Manga,"Comedy, Drama, Sports",School,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,111,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
31,31,32,Sen to Chihiro no Kamikakushi,8.79,1092743,Movie,1,Finished Airing,"Jul 20, 2001",,,Toho,"Walt Disney Studios, GKIDS",Studio Ghibli,Original,"Adventure, Award Winning, Drama, Supernatural",,,2 hr. 4 min.,PG - Children,43,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
32,32,33,Monogatari Series: Second Season,8.78,313816,TV,26,Finished Airing,"Jul 7, 2013 to Dec 29, 2013",Summer 2013,Sundays at 00:00 (JST),"Aniplex, Kodansha, Cyclone Graphics",Aniplex of America,Shaft,Light novel,"Comedy, Mystery, Romance, Supernatural",Vampire,,25 min. per ep.,R - 17+ (violence & profanity),265,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
33,33,34,Odd Taxi,8.77,98162,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 02:00 (JST),"Pony Canyon, Pony Canyon Enterprise","None found, add some","OLM, P.I.C.S.",Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,863,https://myanimelist.net/anime/46102/Odd_Taxi
34,34,35,Kingdom 3rd Season,8.77,12854,TV,26,Finished Airing,"Apr 6, 2020 to Oct 17, 2021",Spring 2020,Mondays at 00:10 (JST),"NHK, Shueisha",Funimation,"Pierrot Plus, Studio Signpost",Manga,,,Seinen,25 min. per ep.,R - 17+ (violence & profanity),2320,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
35,35,36,Cowboy Bebop,8.76,764862,TV,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,Saturdays at 01:00 (JST),Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,Original,"Action, Adventure, Comedy, Drama, Sci-Fi",Space,,24 min. per ep.,R - 17+ (violence & profanity),42,https://myanimelist.net/anime/1/Cowboy_Bebop
36,36,37,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.76,278019,TV,12,Finished Airing,"Oct 4, 2021 to Dec 20, 2021",Fall 2021,Mondays at 00:00 (JST),"None found, add some",Funimation,Studio Bind,Light novel,"Drama, Fantasy, Ecchi",,,23 min. per ep.,R - 17+ (violence & profanity),328,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
37,37,38,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.75,55717,TV,12,Finished Airing,"Jan 7, 2017 to Mar 25, 2017",Winter 2017,Saturdays at 02:25 (JST),"Mainichi Broadcasting System, Kodansha, DAX Production, King Records","None found, add some",Studio Deen,Manga,,Historical,Josei,24 min. per ep.,PG-13 - Teens 13 or older,1130,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
38,38,39,Mushishi Zoku Shou 2nd Season,8.74,89483,TV,10,Finished Airing,"Oct 19, 2014 to Dec 21, 2014",Fall 2014,Sundays at 00:30 (JST),"Aniplex, Kodansha, Delfi Sound",Aniplex of America,Artland,Manga,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Historical,Seinen,23 min. per ep.,PG-13 - Teens 13 or older,811,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
39,39,40,Hajime no Ippo,8.74,217640,TV,75,Finished Airing,"Oct 4, 2000 to Mar 27, 2002",Fall 2000,Tuesdays at 00:50 (JST),VAP,"Discotek Media, Geneon Entertainment USA",Madhouse,Manga,"Comedy, Drama, Sports",,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,366,https://myanimelist.net/anime/263/Hajime_no_Ippo
40,40,41,Vinland Saga,8.73,534167,TV,24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",Summer 2019,Mondays at 00:10 (JST),"Production I.G, Dentsu, Kodansha, Twin Engine",Sentai Filmworks,Wit Studio,Manga,"Action, Adventure, Drama",Historical,Seinen,24 min. per ep.,R - 17+ (violence & profanity),106,https://myanimelist.net/anime/37521/Vinland_Saga
41,41,42,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.72,123319,Movie,1,Finished Airing,"Aug 15, 2020",,,"Aniplex, Notes, Kadokawa",Aniplex of America,ufotable,Visual novel,"Action, Fantasy, Supernatural",,,2 hr. 2 min.,R - 17+ (violence & profanity),740,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song
42,42,43,Jujutsu Kaisen (TV),8.71,974252,TV,24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021",Fall 2020,Saturdays at 01:25 (JST),"Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap","None found, add some",MAPPA,Manga,"Action, Supernatural",,Shounen,23 min. per ep.,R - 17+ (violence & profanity),38,https://myanimelist.net/anime/40748/Jujutsu_Kaisen_TV
43,43,44,Mo Dao Zu Shi: Wanjie Pian,8.71,9747,ONA,12,Finished Airing,"Aug 7, 2021 to Oct 16, 2021",,,Tencent Penguin Pictures,"None found, add some",B.CMAY PICTURES,Web novel,"Action, Drama, Supernatural",,,24 min. per ep.,R - 17+ (violence & profanity),2659,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian
44,44,45,Mushishi Zoku Shou,8.71,102110,TV,10,Finished Airing,"Apr 5, 2014 to Jun 21, 2014",Spring 2014,Saturdays at 00:00 (JST),"Aniplex, Kodansha, Delfi Sound",Aniplex of America,Artland,Manga,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Historical,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,712,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
45,45,46,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,125498,OVA,4,Finished Airing,"Feb 20, 1999 to Sep 22, 1999",,,Aniplex,"ADV Films, Aniplex of America",Studio Deen,Manga,"Action, Drama, Romance",,Shounen,30 min. per ep.,R - 17+ (violence & profanity),747,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
46,46,47,Ashita no Joe 2,8.7,14948,TV,47,Finished Airing,"Oct 13, 1980 to Aug 31, 1981",Fall 1980,Unknown,Annapuru,"None found, add some",Tokyo Movie Shinsha,Manga,"Action, Drama, Slice of Life, Sports",,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,2919,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
47,47,48,Code Geass: Hangyaku no Lelouch,8.7,1191445,TV,25,Finished Airing,"Oct 6, 2006 to Jul 29, 2007",Fall 2006,Fridays at 01:25 (JST),"Bandai Visual, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Sunrise,Original,"Action, Drama, Sci-Fi",,,24 min. per ep.,R - 17+ (violence & profanity),17,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
48,48,49,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.7,578507,Movie,1,Finished Airing,"Oct 16, 2020",,,"Aniplex, Shueisha",Aniplex of America,ufotable,Manga,,,Shounen,1 hr. 56 min.,R - 17+ (violence & profanity),120,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
49,49,50,Great Teacher Onizuka,8.69,332087,TV,43,Finished Airing,"Jun 30, 1999 to Sep 17, 2000",Summer 1999,Wednesdays at 19:30 (JST),"Aniplex, Fuji TV","Discotek Media, Tokyopop",Studio Pierrot,Manga,"Comedy, Drama",School,Shounen,25 min. per ep.,R - 17+ (violence & profanity),210,https://myanimelist.net/anime/245/Great_Teacher_Onizuka
50,50,101,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,81189,Movie,1,Finished Airing,"Apr 24, 2010",,,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",Sentai Filmworks,Sunrise,Manga,"Action, Comedy, Sci-Fi",,Shounen,1 hr. 35 min.,R - 17+ (violence & profanity),1294,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
51,51,102,Perfect Blue,8.52,285653,Movie,1,Finished Airing,"Feb 28, 1998",,,Rex Entertainment,"GKIDS, Manga Entertainment",Madhouse,Novel,"Avant Garde, Drama, Horror",Psychological,,1 hr. 21 min.,R+ - Mild Nudity,320,https://myanimelist.net/anime/437/Perfect_Blue
52,52,103,Shingeki no Kyojin,8.52,2319502,TV,25,Finished Airing,"Apr 7, 2013 to Sep 29, 2013",Spring 2013,Sundays at 01:58 (JST),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Mad Box, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,"Action, Drama, Fantasy, Mystery",,Shounen,24 min. per ep.,R - 17+ (violence & profanity),1,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
53,53,104,Steins;Gate 0,8.52,335616,TV,23,Finished Airing,"Apr 12, 2018 to Sep 27, 2018",Spring 2018,Thursdays at 01:35 (JST),"Frontier Works, Media Factory, Kadokawa Shoten, Movic",Funimation,White Fox,Visual novel,"Drama, Sci-Fi, Suspense",Psychological,,23 min. per ep.,PG-13 - Teens 13 or older,180,https://myanimelist.net/anime/30484/Steins_Gate_0
54,54,105,Nana,8.51,188235,TV,47,Finished Airing,"Apr 5, 2006 to Mar 28, 2007",Spring 2006,Unknown,"VAP, Nippon Television Network, Shueisha","VIZ Media, Sentai Filmworks",Madhouse,Manga,"Drama, Romance, Slice of Life",Music,Shoujo,23 min. per ep.,R+ - Mild Nudity,323,https://myanimelist.net/anime/877/Nana
55,55,106,One Punch Man,8.51,1868479,TV,12,Finished Airing,"Oct 5, 2015 to Dec 21, 2015",Fall 2015,Mondays at 01:05 (JST),"TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, JR East Marketing & Communications",VIZ Media,Madhouse,Web manga,"Action, Comedy, Sci-Fi, Supernatural",,,24 min. per ep.,R - 17+ (violence & profanity),4,https://myanimelist.net/anime/30276/One_Punch_Man
56,56,107,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.51,335734,TV,12,Finished Airing,"Jan 6, 2021 to Mar 24, 2021",Winter 2021,Wednesdays at 22:30 (JST),Kadokawa,"None found, add some",White Fox,Light novel,"Drama, Fantasy, Suspense",Psychological,,28 min. per ep.,R - 17+ (violence & profanity),244,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
57,57,108,Tian Guan Ci Fu Special,8.51,12538,ONA,1,Finished Airing,"Feb 16, 2021",,,bilibili,"None found, add some",Haoliners Animation League,Web novel,"Drama, Supernatural",Historical,,22 min.,PG-13 - Teens 13 or older,3686,https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special
58,58,109,Uchuu Kyoudai,8.51,42033,TV,99,Finished Airing,"Apr 1, 2012 to Mar 22, 2014",Spring 2012,Sundays at 07:00 (JST),"Aniplex, Dentsu, YTV, Trinity Sound",Sentai Filmworks,A-1 Pictures,Manga,"Comedy, Sci-Fi, Slice of Life",Space,Seinen,24 min. per ep.,PG-13 - Teens 13 or older,1068,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
59,59,110,Ansatsu Kyoushitsu 2nd Season,8.51,728625,TV,25,Finished Airing,"Jan 8, 2016 to Jul 1, 2016",Winter 2016,Fridays at 01:25 (JST),"Dentsu, Studio Hibari, Fuji TV, DAX Production, Avex Pictures, Shueisha, Kansai Telecasting",Funimation,Lerche,Manga,"Action, Comedy",School,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,84,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
60,60,111,Banana Fish,8.51,274711,TV,24,Finished Airing,"Jul 6, 2018 to Dec 21, 2018",Summer 2018,Fridays at 00:55 (JST),"Aniplex, Dentsu, Movic, Fuji TV, Shogakukan","None found, add some",MAPPA,Manga,"Action, Adventure, Drama",,Shoujo,22 min. per ep.,R - 17+ (violence & profanity),226,https://myanimelist.net/anime/36649/Banana_Fish
61,61,112,Josee to Tora to Sakana-tachi,8.51,104321,Movie,1,Finished Airing,"Dec 25, 2020",,,"Shochiku, Kadokawa, Sonilude",Funimation,Bones,Novel,"Drama, Romance, Slice of Life",,,1 hr. 38 min.,PG-13 - Teens 13 or older,803,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi
62,62,113,Aria the Origination,8.5,27030,TV,13,Finished Airing,"Jan 8, 2008 to Apr 1, 2008",Winter 2008,Tuesdays at 02:00 (JST),"Production I.G, TV Tokyo, Media Factory, Shochiku, Mag Garden",Nozomi Entertainment,Hal Film Maker,Manga,"Fantasy, Sci-Fi, Slice of Life",,Shounen,24 min. per ep.,G - All Ages,1534,https://myanimelist.net/anime/3297/Aria_the_Origination
63,63,114,Hotaru no Haka,8.5,331652,Movie,1,Finished Airing,"Apr 16, 1988",,,"None found, add some","ADV Films, Central Park Media, Sentai Filmworks",Studio Ghibli,Novel,,Historical,,1 hr. 28 min.,PG-13 - Teens 13 or older,300,https://myanimelist.net/anime/578/Hotaru_no_Haka
64,64,115,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5,600154,TV,39,Finished Airing,"Apr 2, 2016 to Dec 24, 2016",Spring 2016,Saturdays at 00:30 (JST),"Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha",VIZ Media,David Production,Manga,"Action, Adventure, Comedy, Drama, Supernatural",,Shounen,23 min. per ep.,R - 17+ (violence & profanity),133,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
65,65,116,Rainbow: Nisha Rokubou no Shichinin,8.5,134378,TV,26,Finished Airing,"Apr 7, 2010 to Sep 29, 2010",Spring 2010,Unknown,"VAP, Nippon Television Network",Funimation,Madhouse,Manga,"Drama, Suspense",Historical,Seinen,22 min. per ep.,R - 17+ (violence & profanity),503,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
66,66,117,Samurai Champloo,8.5,538091,TV,26,Finished Airing,"May 20, 2004 to Mar 19, 2005",Spring 2004,Saturdays at 10:30 (JST),"Victor Entertainment, Fuji TV, Barnum Studio, Tokuma Shoten, flying DOG","Funimation, Geneon Entertainment USA",Manglobe,Original,"Action, Adventure, Comedy",,Shounen,24 min. per ep.,R - 17+ (violence & profanity),98,https://myanimelist.net/anime/205/Samurai_Champloo
